event,T0_tx_rise_s,T1_rx1_rise_s,T2_rx2_rise_s,T1-T0_us,T2-T0_us,T2-T1_us,RX1_gap_before_ms,RX2_gap_before_ms,status
316,13.970050880,13.977338130,13.977338110,7287.250,7287.230,0.020,,,ok
317,13.990076000,13.997361520,13.997361910,7285.520,7285.910,0.390,,,ok
318,14.010131330,14.017419790,14.017420360,7288.460,7289.030,0.570,,,ok
319,14.029275030,14.036563250,14.036564600,7288.220,7289.570,1.350,,,ok
320,14.050285530,14.057571500,14.057573010,7285.970,7287.480,1.510,,,ok
321,14.070056630,14.077344870,14.077345050,7288.240,7288.420,0.180,,,ok
322,14.089723520,14.097054180,14.097008810,7330.660,7285.290,45.370,,,ok
323,14.110180640,14.117467640,14.117468030,7287.000,7287.390,0.390,,,ok
324,14.129263260,14.136549830,14.136551520,7286.570,7288.260,1.690,,,ok
325,14.150281240,14.157568280,14.157570100,7287.040,7288.860,1.820,,,ok
326,14.170154400,14.177442470,14.177442260,7288.070,7287.860,0.210,,,ok
327,14.190023150,14.197311050,14.197311690,7287.900,7288.540,0.640,,,ok
328,14.210077620,14.217363420,14.217362490,7285.800,7284.870,0.930,,,ok
329,14.230217390,14.237507650,14.237508480,7290.260,7291.090,0.830,,,ok
330,14.250225570,14.257476840,14.257510930,7251.270,7285.360,34.090,,,ok
331,14.270026820,14.277314400,14.277312930,7287.580,7286.110,1.470,,,ok
332,14.290087900,14.297375290,14.297378690,7287.390,7290.790,3.400,,,ok
333,14.310050520,14.317341000,14.317337140,7290.480,7286.620,3.860,,,ok
334,14.330154120,14.337439290,14.337440420,7285.170,7286.300,1.130,,,ok
335,14.350034340,14.357322910,14.357322940,7288.570,7288.600,0.030,,,ok
336,14.370091500,14.377381200,14.377377120,7289.700,7285.620,4.080,,,ok
337,14.390152980,14.397439490,14.397440460,7286.510,7287.480,0.970,,,ok
338,14.410076750,14.417362850,14.417363850,7286.100,7287.100,1.000,,,ok
339,14.429275550,14.436560470,14.436562240,7284.920,7286.690,1.770,,,ok
340,14.450132920,14.457418280,14.457419870,7285.360,7286.950,1.590,,,ok
341,14.470064570,14.477353030,14.477353180,7288.460,7288.610,0.150,,,ok
