event,T0_tx_rise_s,T1_rx1_rise_s,T2_rx2_rise_s,T1-T0_us,T2-T0_us,T2-T1_us,status
348,188.502369750,188.510771900,188.510774040,8402.150,8404.290,2.140,ok
349,189.044377590,189.052778000,189.052777690,8400.410,8400.100,0.310,ok
350,189.586468140,189.594868590,189.594866000,8400.450,8397.860,2.590,ok
351,190.128570760,190.136974790,190.136974530,8404.030,8403.770,0.260,ok
352,190.670614100,190.679015450,190.679084270,8401.350,8470.170,68.820,ok
353,191.212755690,191.221161640,191.221161110,8405.950,8405.420,0.530,ok
354,191.754826660,191.763237300,191.763234720,8410.640,8408.060,2.580,ok
355,192.296875270,192.305344680,192.305336250,8469.410,8460.980,8.430,ok
356,192.839025690,192.847429100,192.847431500,8403.410,8405.810,2.400,ok
357,193.381158610,193.389565030,193.389565010,8406.420,8406.400,0.020,ok
358,193.923266070,193.931665730,193.931668280,8399.660,8402.210,2.550,ok
359,194.465415990,194.473816200,194.473816630,8400.210,8400.640,0.430,ok
360,195.007565070,195.015972250,195.015970090,8407.180,8405.020,2.160,ok
361,195.549636430,195.558038240,195.558038450,8401.810,8402.020,0.210,ok
362,196.091728570,196.100134190,196.100132030,8405.620,8403.460,2.160,ok
363,196.633840160,196.642244880,196.642245380,8404.720,8405.220,0.500,ok
364,197.175927800,197.184330770,197.184329050,8402.970,8401.250,1.720,ok
365,197.718089130,197.726491610,197.726492250,8402.480,8403.120,0.640,ok
366,198.260202650,198.268607470,198.268605580,8404.820,8402.930,1.890,ok
367,198.802243060,198.810648180,198.810648510,8405.120,8405.450,0.330,ok
368,199.344379100,199.352783700,199.352782490,8404.600,8403.390,1.210,ok
369,199.886433700,199.894844940,199.894845830,8411.240,8412.130,0.890,ok
370,200.428473570,200.436875680,200.436879240,8402.110,8405.670,3.560,ok
371,200.970609920,200.979011700,200.979012900,8401.780,8402.980,1.200,ok
372,201.512669810,201.521077140,201.521076080,8407.330,8406.270,1.060,ok
